"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","outcome","winner","winner_wickets","tv_umpire","winner_runs","reserve_umpire","match_number","winner_innings"
"593722","6","England","Australia","female","2013","2013/08/11","Women's Ashes","Sir Paul Getty's Ground","Wormsley","Australia","bat","HC Knight","MR Benson","M Burns","DT Jukes","draw",NA,NA,NA,NA,NA,NA,NA
"722387","6","England","India","female","2014","2014/08/13",NA,"Sir Paul Getty's Ground","Wormsley","India","field","JL Gunn","DJ Millns","BV Taylor","DT Jukes",NA,"India","6",NA,NA,NA,NA,NA
"798375","6","England","Australia","female","2015","2015/08/11","Women's Ashes","St Lawrence Ground","Canterbury","Australia","bat","JL Jonassen","NA Mallender","AG Wharf","DT Jukes",NA,"Australia",NA,"MJ Saggers","161",NA,NA,NA
"1168025","6","England","Australia","female","2019","2019/07/18","Australia Women tour of England","The Cooper Associates County Ground","Taunton","Australia","bat","EA Perry","MJ Saggers","AG Wharf","Wayne Noon","draw",NA,NA,"PK Baldwin",NA,"Rob White",NA,NA
"1263620","6","India","Australia","female","2021/22","2021/09/30","India Women tour of Australia","Carrara Oval","Carrara","Australia","field","S Mandhana","CA Polosak","PJ Gillespie","RW Stratford","draw",NA,NA,"BNJ Oxenford",NA,"Eloise Sheridan",NA,NA
"1086066","6","England","Australia","female","2017/18","2017/11/09","Women's Ashes","North Sydney Oval, Sydney","Sydney","England","bat","EA Perry","GC Joshua","GA Abood","SR Bernard","draw",NA,NA,"GJ Davidson",NA,"BC Treloar",NA,NA
"1301327","6","South Africa","England","female","2022","2022/06/27","South Africa Women tour of England","The Cooper Associates County Ground, Taunton","Taunton","England","field","NR Sciver","AY Harris","S Redfern","DT Jukes","draw",NA,NA,"NJ Llong",NA,"J Naeem",NA,NA
"474625","6","England","Australia","female","2010/11","2011/01/22","England Women tour of Australia","Bankstown Oval, Sydney","Sydney","England","bat","RM Farrell","AJ Barrow","P Wilson","PL Marshall",NA,"Australia","7",NA,NA,NA,NA,NA
"383288","6","Australia","England","female","2009","2009/07/10","Australia Women tour of England","County Ground, New Road, Worcester","Worcester","Australia","bat","JM Fields","NGB Cook","TE Jesty","DT Jukes","draw",NA,NA,NA,NA,NA,NA,NA
"312450","6","Australia","England","female","2007/08","2008/02/15","England Women tour of Australia and New Zealand","Bradman Oval, Bowral","Bowral","England","field","IT Guha","PR Reiffel","RJ Tucker","Tim Donahoo",NA,"England","6",NA,NA,NA,NA,NA
"216932","6","Australia","England","female","2005","2005/08/24","Australia Women tour of England","County Ground, New Road, Worcester","Worcester","England","field","KH Brunt","J Hayes","RK Illingworth",NA,NA,"England","6",NA,NA,NA,"2",NA
"1260093","6","England","India","female","2021","2021/06/16","India Women tour of England","County Ground, Bristol","Bristol","England","bat","Shafali Verma","Chris Watts","S Redfern","DT Jukes","draw",NA,NA,"IJ Gould",NA,"SM Bartlett",NA,NA
"1263571","6","Australia","England","female","2021/22","2022/01/27","Women's Ashes","Manuka Oval, Canberra","Canberra","England","field","HC Knight","Eloise Sheridan","MW Graham-Smith","SR Bernard","draw",NA,NA,"BNJ Oxenford",NA,"CA Polosak",NA,NA
"1336073","6","Australia","England","female","2023","2023/06/22","Women's Ashes","Trent Bridge, Nottingham","Nottingham","Australia","bat","A Gardner","AY Harris","S McLelland","DT Jukes",NA,"Australia",NA,"J Naeem","89","S McLelland",NA,NA
"225164","6","England","India","female","2006","2006/08/08","India Women tour of Ireland and England","Grace Road, Leicester","Leicester","England","bat",NA,"TE Jesty","JW Lloyds",NA,"draw",NA,NA,NA,NA,NA,"1",NA
"67517","6","Australia","England","female","2002/03","2003/02/22","England Women tour of Australia","Bankstown Oval, Sydney","Sydney","England","field","LC Pearson","SA Reed","NSD Fowler",NA,"draw",NA,NA,NA,NA,NA,"2",NA
"1406076","6","India","England","female","2023/24","2023/12/14","England Women tour of India","Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","India","bat","DB Sharma","VG Rathi","KN Ananthapadmanabhan","GS Lakshmi",NA,"India",NA,"VK Sharma","347","Gayathri Venugopal",NA,NA
"1406077","6","Australia","India","female","2023/24","2023/12/21","Australia Women tour of India","Wankhede Stadium, Mumbai","Mumbai","Australia","bat","S Rana","N Janani","AK Chaudhary","GS Lakshmi",NA,"India","8","J Madanagopal",NA,"Gayathri Venugopal",NA,NA
"1375875","6","South Africa","Australia","female","2023/24","2024/02/15","South Africa Women tour of Australia","Western Australia Cricket Association Ground, Perth","Perth","Australia","field","A Sutherland","Eloise Sheridan","CA Polosak","Dave Gilbert",NA,"Australia",NA,"MW Graham-Smith","284","L McCabe",NA,"1"
"1434290","6","India","South Africa","female","2024","2024/06/28","South Africa Women tour of India","MA Chidambaram Stadium, Chepauk, Chennai","Chennai","India","bat","S Rana","VK Sharma","Gayathri Venugopal","GS Lakshmi",NA,"India","10","J Madanagopal",NA,"VG Rathi",NA,NA
